Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size
Sedan/Wagon,E 450 4MATIC (Coupe),2022,Mercedes-Benz,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,E 450 (Convertible),2022,Mercedes-Benz,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,E 450 (Coupe),2022,Mercedes-Benz,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,EQS450+,2022,Mercedes-Benz,Electric,350.0,97.0,,Automatic,245 kW electric motor
Sedan/Wagon,EQS 580 4MATIC,2022,Mercedes-Benz,Electric,340.0,95.0,,Automatic,135 and 255 kW electric motors
SUV,GLE 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,GLE 580 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,18.0,Automatic,4.0L
SUV,GLS 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,20.0,Automatic,3.0L
SUV,GLS 580 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,18.0,Automatic,4.0L
SUV,GLS 600 4MATIC Maybach,2022,Mercedes-Benz,Hybrid Electric,,,17.0,Automatic,4.0L
Sedan/Wagon,S 500 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,S 580 4MATIC,2022,Mercedes-Benz,Hybrid Electric,,,19.0,Automatic,4.0L
Sedan/Wagon,S 580 4MATIC Maybach,2022,Mercedes-Benz,Hybrid Electric,,,18.0,Automatic,4.0L
Sedan/Wagon,Cooper SE Countryman ALL4,2022,Mini,Plug-in Hybrid Electric,18.0,73.0,29.0,Automatic,1.5L
Sedan/Wagon,Cooper SE Hardtop 2 door,2022,Mini,Electric,114.0,110.0,,Automatic,135 kW electric motor
SUV,Outlander PHEV,2022,Mitsubishi,Plug-in Hybrid Electric,24.0,74.0,26.0,Automatic,2.4L
